STATE,ZIP,DOMAIN,CLUSTER,HOMEOWNR,DATASRCE,RFA_2,RFA_2R,RFA_2A,DOMAIN_A,DOMAIN_B
CA,90606,S2,19,H,A,L1F,L,F,S,2
GA,30577,T2,36,H,D,L1F,L,F,T,2
CA,93527,R2,44,U,B,L1G,L,G,R,2
other,97006,C1,22,U,B,L2F,L,F,C,1
other,74401,T3,41,U,C,L1F,L,F,T,3
FL,33304,U1,3,H,A,L3F,L,F,U,1
GA,30030,S1,11,U,A,L1G,L,G,S,1
NC,28670,R2,43,U,C,L1G,L,G,R,2
NC,27882,R2,47,U,C,L4F,L,F,R,2
other,35055,T2,36,U,C,L2G,L,G,T,2
MO,64456,R3,53,U,D,L1G,L,G,R,3
GA,30601,T2,39,H,C,L4E,L,E,T,2
other,97232,C2,26,U,B,L3E,L,E,C,2
GA,31021,T3,41,U,D,L1F,L,F,T,3
FL,32751,C1,23,H,B,L3F,L,F,C,1
other,97123-,S1,13,H,B,L2G,L,G,S,1
other,72063,R2,43,U,D,L1F,L,F,R,2
WA,98520,T2,36,U,C,L3E,L,E,T,2
TX,79015-,R2,45,H,C,L2G,L,G,R,2
NC,27896,C1,24,U,C,L1F,L,F,C,1
CA,90262,U4,10,U,A,L1G,L,G,U,4
FL,34952,C2,27,H,B,L2G,L,G,C,2
other,35214,S2,16,H,B,L1F,L,F,S,2
NC,28605,R1,42,H,D,L1G,L,G,R,1
TX,75062,C2,27,H,A,L1F,L,F,C,2
WA,98272,R1,42,H,A,L2G,L,G,R,1
other,97304,S2,20,H,B,L3D,L,D,S,2
CA,90717,U2,6,H,A,L1G,L,G,U,2
MO,63347,R2,49,H,D,L2F,L,F,R,2
CA,94070,S1,13,H,A,L1E,L,E,S,1
other,59405,C2,27,U,C,L4E,L,E,C,2
MI,48212,R2,40,U,A,L3E,L,E,R,2
MI,48034,S2,17,H,A,L2F,L,F,S,2
FL,32082,T1,34,H,B,L4F,L,F,T,1
other,50659,R2,45,H,D,L1F,L,F,R,2
other,73098,R2,45,U,D,L1F,L,F,R,2
IL,60067,S1,15,U,A,L1F,L,F,S,1
other,88101,T2,37,H,D,L3E,L,E,T,2
CA,92029,S3,21,U,A,L3E,L,E,S,3
other,97330,T1,35,U,C,L2F,L,F,T,1
CA,94544,U3,8,H,A,L1G,L,G,U,3
TX,77029,S3,21,H,A,L2E,L,E,S,3
other,84117,U2,4,H,B,L3E,L,E,U,2
TX,76201,C1,24,H,A,L2F,L,F,C,1
GA,30518,T2,38,U,A,L1F,L,F,T,2
CA,92677,C3,33,H,A,L1F,L,F,C,3
CA,95962,R2,46,U,C,L1F,L,F,R,2
other,97360,R2,45,U,C,L2F,L,F,R,2
other,36572,T2,40,H,B,L1F,L,F,T,2
other,73858,R2,45,H,D,L3E,L,E,R,2
TX,77346,C1,24,H,A,L1G,L,G,C,1
other,72396,T2,36,U,D,L3G,L,G,T,2
FL,32776,R2,49,H,C,L4F,L,F,R,2
CA,95350,S1,13,U,B,L3F,L,F,S,1
other,83686,C2,28,H,C,L1F,L,F,C,2
WA,98335,T2,40,H,A,L1F,L,F,T,2
WI,53207,U2,5,H,B,L1F,L,F,U,2
IL,60108,S1,14,H,A,L1F,L,F,S,1
other,89005,C1,23,U,B,L1F,L,F,C,1
FL,34224,C2,29,U,C,L4F,L,F,C,2
WA,98408,S3,21,H,A,L1E,L,E,S,3
other,52245,C1,24,H,C,L1G,L,G,C,1
MI,49015,C3,30,H,C,L2F,L,F,C,3
other,37322,R2,43,U,D,L2E,L,E,R,2
GA,30318,C3,32,U,A,L1F,L,F,C,3
CA,93611,R1,42,H,B,L1G,L,G,R,1
GA,30238,T2,40,H,A,L3E,L,E,T,2
CA,94558-,C1,24,H,A,L2E,L,E,C,1
other,38874,R3,51,U,D,L1F,L,F,R,3
FL,33903,C2,26,H,B,L1F,L,F,C,2
other,80134,T1,35,H,B,L1G,L,G,T,1
MI,49022,C3,32,H,C,L2E,L,E,C,3
other,29403,C1,24,H,B,L1G,L,G,C,1
TX,75161-,C3,30,U,A,L1G,L,G,C,3
CA,91361,C1,24,H,A,L2F,L,F,C,1
FL,33905,T2,36,H,B,L2F,L,F,T,2
CA,92543,C2,29,U,A,L2F,L,F,C,2
CA,93535,T3,41,H,A,L2E,L,E,T,3
TX,78232,S1,11,H,B,L1F,L,F,S,1
other,36111,C1,22,H,B,L4F,L,F,C,1
other,39451,R3,51,U,D,L2F,L,F,R,3
FL,34242,C1,23,H,B,L3F,L,F,C,1
MI,49968,R3,53,H,D,L1F,L,F,R,3
MI,48227,U4,10,H,A,L3E,L,E,U,4
CA,94705,U1,1,U,A,L1F,L,F,U,1
MI,48505,C3,32,H,B,L1F,L,F,C,3
IL,60056,S2,18,H,A,L2G,L,G,S,2
CA,93631,R2,44,U,B,L2F,L,F,R,2
other,56093-,T2,36,U,D,L1E,L,E,T,2
IN,46804,S1,11,H,B,L1F,L,F,S,1
other,50849,R2,48,U,D,L1E,L,E,R,2
WA,98558,R2,44,H,A,L1G,L,G,R,2
other,83843,C2,25,H,D,L1F,L,F,C,2
other,70380,R3,52,U,D,L3D,L,D,R,3
CA,91006,S1,13,H,A,L1G,L,G,S,1
WI,54911,C1,24,H,B,L4E,L,E,C,1
FL,34203,T2,38,U,B,L2F,L,F,T,2
CA,94941,S1,15,H,A,L4G,L,G,S,1
CA,93637,C3,30,H,C,L3E,L,E,C,3
CA,90805,U2,6,H,A,L3E,L,E,U,2
NC,28753,T1,34,U,D,L2F,L,F,T,1
IN,47711,R1,42,H,B,L1G,L,G,R,1
CA,93907,T2,40,H,B,L2F,L,F,T,2
FL,34488,R2,48,U,C,L4D,L,D,R,2
TX,77625-,C3,30,U,B,L2E,L,E,C,3
TX,76710,C1,22,H,C,L4F,L,F,C,1
other,55113,C2,26,U,A,L1E,L,E,C,2
FL,33498,S1,13,H,B,L1G,L,G,S,1
other,85254,S1,14,H,A,L2F,L,F,S,1
IN,46202,U2,4,U,B,L1F,L,F,U,2
MI,49418,S2,18,H,B,L1G,L,G,S,2
other,66762-,S1,12,U,D,L4D,L,D,S,1
other,74075,T1,34,U,C,L2F,L,F,T,1
NC,28036,T1,34,U,B,L4F,L,F,T,1
IL,62521,C2,27,H,C,L1G,L,G,C,2
other,37642,R2,43,U,B,L3E,L,E,R,2
GA,30747,T2,36,U,D,L3D,L,D,T,2
WA,98232-,C2,25,U,C,L1F,L,F,C,2
TX,77005,S1,13,U,A,L1F,L,F,S,1
TX,79907,U4,10,H,B,L4E,L,E,U,4
GA,31539,R3,51,H,D,L2G,L,G,R,3
MO,63462,R2,46,H,D,L3E,L,E,R,2
CA,95672,T1,35,H,B,L2G,L,G,T,1
CA,90650,U2,6,H,A,L1F,L,F,U,2
TX,79903,C3,30,H,B,L4D,L,D,C,3
other,66502,R2,40,U,C,L2F,L,F,R,2
CA,95827,U1,2,H,B,L4F,L,F,U,1
CA,95125,U1,2,U,A,L1G,L,G,U,1
WA,98092,R2,40,H,A,L1F,L,F,R,2
WI,53704,S3,21,U,B,L2F,L,F,S,3
NC,27604,S2,18,U,B,L4D,L,D,S,2
other,85022,C2,29,H,A,L1F,L,F,C,2
MI,49047,T3,41,U,D,L1F,L,F,T,3
CA,91784,R2,40,H,A,L2G,L,G,R,2
CA,95608,U1,3,H,B,L2G,L,G,U,1
WA,98125,U1,2,H,A,L2E,L,E,U,1
other,68510,C1,24,U,C,L2F,L,F,C,1
MI,48170,S1,14,H,A,L1G,L,G,S,1
other,67208,C2,25,U,B,L4G,L,G,C,2
other,92808,U2,6,U,A,L2F,L,F,U,2
MI,48220,U3,8,H,A,L1F,L,F,U,3
FL,33760,S3,21,H,A,L1G,L,G,S,3
CA,92117,S1,11,H,A,L2F,L,F,S,1
other,87544,T1,34,U,C,L4E,L,E,T,1
CA,94115,U1,1,U,A,L2F,L,F,U,1
other,35546,R3,51,H,D,L1F,L,F,R,3
MI,48035,S3,21,U,A,L2F,L,F,S,3
other,55346,S1,12,U,A,L1F,L,F,S,1
FL,33442,S2,20,U,A,L1G,L,G,S,2
WI,54130,R2,44,U,B,L1F,L,F,R,2
other,29577,T1,34,H,C,L3E,L,E,T,1
other,36609,C1,22,U,B,L1E,L,E,C,1
FL,34685-,S1,12,H,A,L1E,L,E,S,1
other,37075,T1,35,H,B,L1F,L,F,T,1
MI,49855,R2,44,H,C,L4E,L,E,R,2
CA,92008,S2,17,H,A,L1F,L,F,S,2
WA,98002,S3,21,H,A,L4D,L,D,S,3
CA,94598,S1,13,H,A,L2G,L,G,S,1
WI,54235,R2,46,H,D,L3D,L,D,R,2
FL,33756,U4,10,U,A,L2F,L,F,U,4
CA,93023,T1,35,H,A,L1F,L,F,T,1
other,39059,R3,50,H,D,L3E,L,E,R,3
CA,92118,S1,15,U,A,L1F,L,F,S,1
CA,95403,S1,11,H,A,L1F,L,F,S,1
CA,94546,S1,13,U,A,L4D,L,D,S,1
WI,53168,T2,39,H,A,L3E,L,E,T,2
FL,32207,C3,31,H,B,L1F,L,F,C,3
other,42431,T2,40,H,D,L1G,L,G,T,2
other,71211,T3,41,U,C,L2F,L,F,T,3
CA,95065,S1,13,H,A,L1F,L,F,S,1
MI,48820,R2,44,U,B,L1F,L,F,R,2
IL,60605,U1,1,U,A,L1E,L,E,U,1
CA,92128,C2,29,U,A,L2G,L,G,C,2
FL,33773,S2,16,U,A,L1F,L,F,S,2
other,37067,T1,35,U,B,L1F,L,F,T,1
FL,32211,C2,27,H,B,L2F,L,F,C,2
TX,75070-,S1,11,U,A,L3E,L,E,S,1
CA,94118,U1,3,U,A,L1G,L,G,U,1
WA,98502,C2,27,H,C,L2F,L,F,C,2
IN,46532,R3,51,U,D,L3E,L,E,R,3
WA,98358,C1,23,H,D,L2E,L,E,C,1
CA,94559,C1,24,H,A,L1F,L,F,C,1
IL,60429,S1,14,H,A,L2E,L,E,S,1
MI,48212,U4,10,H,A,L2F,L,F,U,4
other,80112-,S2,17,U,B,L2E,L,E,S,2
TX,76903,C3,30,U,C,L3G,L,G,C,3
CA,94010,S1,13,H,A,L1F,L,F,S,1
other,59701,R3,51,H,D,L1E,L,E,R,3
MO,64132,S3,21,H,B,L3F,L,F,S,3
other,70443,R2,43,U,B,L4D,L,D,R,2
CA,95819,U1,2,U,B,L3E,L,E,U,1
other,85705,C2,25,U,B,L3E,L,E,C,2
other,86303,T2,37,U,C,L1G,L,G,T,2
MO,63877,R3,51,H,D,L1F,L,F,R,3
other,67730,R2,45,U,D,L3E,L,E,R,2
IL,61554,T2,40,H,B,L3E,L,E,T,2
GA,30577,T2,36,U,D,L3E,L,E,T,2
CA,92808,T1,34,H,A,L1F,L,F,T,1
FL,32955,S2,18,H,B,L3F,L,F,S,2
CA,92166,S1,13,H,A,L1G,L,G,S,1
other,29073,T2,39,H,B,L2F,L,F,T,2
IL,60153,S2,20,H,A,L2F,L,F,S,2
FL,32257,S1,15,H,B,L2E,L,E,S,1
TX,76179,T1,35,U,A,L3F,L,F,T,1
IL,60620,U4,10,H,A,L1F,L,F,U,4
other,74735,R3,51,U,D,L1F,L,F,R,3
MI,48304,C1,24,H,A,L1G,L,G,C,1
CA,95608,U2,7,H,B,L2E,L,E,U,2
TX,75980,R3,53,H,C,L2F,L,F,R,3
CA,91351,C2,25,H,A,L1F,L,F,C,2
other,37211,T1,35,U,B,L4D,L,D,T,1
MI,48150,S2,16,H,A,L4F,L,F,S,2
other,89114,S3,21,U,B,L1F,L,F,S,3
CA,94547,S1,14,U,A,L3E,L,E,S,1
TX,78745,S2,18,U,B,L2F,L,F,S,2
TX,75937,R2,45,H,C,L4D,L,D,R,2
CA,91755,R2,40,H,A,L1F,L,F,R,2
MI,49127,C1,24,H,C,L1F,L,F,C,1
TX,77551,C1,22,H,A,L2F,L,F,C,1
TX,75205,S1,13,H,A,L2F,L,F,S,1
other,41048,T2,40,H,B,L1F,L,F,T,2
WA,98103,U2,7,H,A,L1E,L,E,U,2
FL,32960,C3,30,U,C,L1F,L,F,C,3
other,59529,R2,43,U,D,L1F,L,F,R,2
CA,94010,S1,13,H,A,L2G,L,G,S,1
IL,61554,S3,21,H,B,L1F,L,F,S,3
FL,32246,S3,21,U,B,L1F,L,F,S,3
IN,46371,R2,49,U,C,L1E,L,E,R,2
TX,75075,S1,14,H,A,L2F,L,F,S,1
WI,54970,U3,8,U,D,L1F,L,F,U,3
CA,90026,U3,9,H,A,L1F,L,F,U,3
TX,79912,S1,15,U,B,L1G,L,G,S,1
other,68046-,S1,14,H,B,L1F,L,F,S,1
WA,98037,C2,27,H,A,L1F,L,F,C,2
CA,96040,R2,46,U,C,L4D,L,D,R,2
other,39180,T1,34,H,D,L3D,L,D,T,1
TX,75656,R2,45,U,D,L3E,L,E,R,2
NC,28151,T3,41,U,C,L1F,L,F,T,3
TX,75654,R3,53,U,D,L2F,L,F,R,3
CA,94565,S2,18,H,A,L1F,L,F,S,2
MI,48098,S1,14,H,A,L1F,L,F,S,1
IL,61938,T3,41,H,D,L1F,L,F,T,3
other,50311,C1,22,U,B,L1F,L,F,C,1
MO,65571,R3,51,H,D,L1F,L,F,R,3
MO,65610-,R2,43,U,B,L1F,L,F,R,2
other,97402,C2,25,H,B,L4D,L,D,C,2
other,97233,S2,20,U,B,L1F,L,F,S,2
CA,93436,C2,25,U,B,L3G,L,G,C,2
FL,33702,U3,8,U,A,L3E,L,E,U,3
IL,60558,S1,13,H,A,L2G,L,G,S,1
other,38732,R3,50,H,D,L3F,L,F,R,3
WI,53219,U3,8,U,B,L3F,L,F,U,3
other,37323,T2,39,U,C,L4D,L,D,T,2
other,71846-,R3,51,U,D,L1F,L,F,R,3
other,81624,R2,49,U,C,L1F,L,F,R,2
GA,30035,S2,18,U,A,L1F,L,F,S,2
other,71234,R2,43,U,D,L1G,L,G,R,2
other,37387,R3,51,H,D,L4D,L,D,R,3
CA,94539,S1,11,U,A,L3F,L,F,S,1
CA,92394,R2,40,U,A,L3E,L,E,R,2
WI,54135,R3,50,U,D,L1F,L,F,R,3
CA,93309,T2,40,H,B,L2E,L,E,T,2
MI,48227,U4,10,U,A,L1G,L,G,U,4
IN,47932,R2,45,U,D,L1F,L,F,R,2
NC,28304,T2,39,U,B,L1F,L,F,T,2
other,29169,C3,30,U,B,L4D,L,D,C,3
CA,94403,S1,13,H,A,L1F,L,F,S,1
NC,27253,T2,36,U,C,L1F,L,F,T,2
other,55117,U1,2,H,A,L2E,L,E,U,1
other,73945,R2,49,U,D,L2F,L,F,R,2
CA,95833,U4,10,U,B,L2F,L,F,U,4
WA,98122,U1,3,H,A,L1G,L,G,U,1
CA,92503,C2,27,H,A,L3E,L,E,C,2
other,37042,T2,39,U,C,L3E,L,E,T,2
CA,93265,R2,46,U,B,L1G,L,G,R,2
other,72450,T2,37,H,D,L1F,L,F,T,2
WI,53206,C1,22,H,B,L3E,L,E,C,1
NC,28227,T1,35,H,B,L1F,L,F,T,1
other,59417,R2,43,U,D,L1G,L,G,R,2
CA,94560,S1,12,H,A,L4F,L,F,S,1
CA,91803,U1,2,U,A,L2E,L,E,U,1
WI,54745,R3,53,U,C,L1F,L,F,R,3
other,35546,R3,53,U,D,L1E,L,E,R,3
TX,78616-,R2,49,U,D,L1F,L,F,R,2
MO,63775-,T2,36,H,D,L2F,L,F,T,2
FL,33618,U1,3,H,A,L1G,L,G,U,1
MO,63301,C2,26,U,A,L1E,L,E,C,2
MI,49920,R3,53,H,D,L2G,L,G,R,3
TX,77005,U1,1,H,A,L2F,L,F,U,1
FL,32526,C3,30,H,B,L2F,L,F,C,3
GA,31548,R2,49,U,D,L1F,L,F,R,2
IN,46803,S2,16,H,B,L2G,L,G,S,2
IL,62204,C3,32,H,A,L2E,L,E,C,3
FL,32951,T1,34,H,B,L4D,L,D,T,1
other,74601,T3,41,H,D,L3E,L,E,T,3
TX,79902,S1,13,H,B,L1F,L,F,S,1
NC,28780,R3,51,U,U,L3E,L,E,R,3
MI,48908-,R2,44,H,B,L2G,L,G,R,2
CA,92084,C1,23,U,A,L2F,L,F,C,1
CA,92101,U2,4,U,A,L1F,L,F,U,2
WA,98178,S2,17,U,A,L4E,L,E,S,2
MO,63123,S2,20,U,A,L4G,L,G,S,2
IL,60501,S3,21,U,A,L2E,L,E,S,3
CA,95831,U1,1,U,B,L1E,L,E,U,1
CA,94103,U1,1,H,A,L1E,L,E,U,1
other,88201,C2,27,U,C,L3F,L,F,C,2
IL,60176,U2,7,U,A,L1F,L,F,U,2
CA,94603,U4,10,H,A,L1F,L,F,U,4
IL,60194,C2,27,U,A,L4D,L,D,C,2
FL,33701,U4,10,U,A,L2G,L,G,U,4
other,74428,R3,51,H,D,L2G,L,G,R,3
other,56036,R3,51,U,D,L4D,L,D,R,3
FL,34293,C2,29,H,B,L1F,L,F,C,2
IL,61265,C3,30,H,B,L1F,L,F,C,3
MI,48043,S2,16,H,A,L1F,L,F,S,2
MO,63072,R2,49,H,A,L1F,L,F,R,2
other,42256,R2,43,U,D,L1F,L,F,R,2
other,37771,T3,41,H,D,L1G,L,G,T,3
FL,32130,T2,37,H,B,L2F,L,F,T,2
other,85248,C1,23,H,A,L1F,L,F,C,1
NC,27410,C1,24,H,B,L1F,L,F,C,1
TX,77471,R2,44,H,A,L2F,L,F,R,2
other,39531,T2,39,U,C,L3F,L,F,T,2
other,38377,R3,51,U,D,L2F,L,F,R,3
FL,34470,C2,28,H,C,L1F,L,F,C,2
other,72209,C2,27,U,B,L2F,L,F,C,2
IL,60090,S1,11,H,A,L1F,L,F,S,1
CA,90631-,S1,11,U,A,L1F,L,F,S,1
MI,48506,S3,21,H,B,L2F,L,F,S,3
CA,92117,S2,17,U,A,L2E,L,E,S,2
other,85044,U4,10,U,A,L1F,L,F,U,4
other,35021,S2,16,U,B,L2F,L,F,S,2
other,80918-,T2,38,U,B,L1F,L,F,T,2
FL,34104,S2,16,H,C,L3E,L,E,S,2
MI,48067,U2,5,H,A,L2F,L,F,U,2
other,69123,R2,49,U,D,L1F,L,F,R,2
NC,28081,C2,27,U,B,L1F,L,F,C,2
CA,92111,U1,1,H,A,L2G,L,G,U,1
CA,93277,C2,27,H,B,L4F,L,F,C,2
other,40272,S3,21,U,B,L2F,L,F,S,3
FL,34610,T2,36,H,A,L1F,L,F,T,2
other,97219,S1,11,H,B,L1F,L,F,S,1
TX,75147,S1,12,H,C,L1G,L,G,S,1
FL,33756-,U3,8,H,A,L1E,L,E,U,3
NC,27526,C1,22,U,B,L1F,L,F,C,1
CA,91773,S2,20,U,A,L2G,L,G,S,2
CA,91350-,R2,40,U,A,L3E,L,E,R,2
other,74953,T3,41,U,D,L2F,L,F,T,3
other,37315,R2,40,U,B,L1F,L,F,R,2
GA,30094,T2,40,H,A,L1F,L,F,T,2
other,97402,R2,44,H,B,L1F,L,F,R,2
TX,75931,R2,48,H,D,L1F,L,F,R,2
CA,95476,T2,40,H,A,L1G,L,G,T,2
IN,47711,R2,44,H,B,L1F,L,F,R,2
other,97701,T2,37,H,C,L3E,L,E,T,2
GA,31904,S1,11,H,B,L1G,L,G,S,1
other,37209,T1,35,U,B,L2E,L,E,T,1
TX,77063,U1,1,U,A,L1F,L,F,U,1
other,85296-,T1,34,H,A,L1F,L,F,T,1
WI,54180,R2,49,H,C,L1F,L,F,R,2
TX,75080,S1,14,H,A,L1F,L,F,S,1
FL,33538,R3,53,U,D,L1E,L,E,R,3
CA,91403,S1,15,H,A,L1G,L,G,S,1
other,29014,R2,47,H,D,L3E,L,E,R,2
TX,79927,C3,30,U,B,L1F,L,F,C,3
other,80126-,T2,40,H,B,L1F,L,F,T,2
FL,32952,C2,27,H,B,L2G,L,G,C,2
CA,91780,U1,2,H,A,L1F,L,F,U,1
TX,75154,T1,35,H,A,L4D,L,D,T,1
MO,64111,U3,9,U,B,L3G,L,G,U,3
other,87111,S1,11,U,B,L3F,L,F,S,1
NC,27320,T3,41,U,C,L1F,L,F,T,3
other,50274,R3,51,U,D,L1F,L,F,R,3
TX,78212,C2,25,U,B,L1G,L,G,C,2
other,85631,R3,52,H,C,L2F,L,F,R,3
other,85739,R2,40,U,C,L1G,L,G,R,2
FL,33801,T3,41,H,B,L2G,L,G,T,3
FL,34470,R2,45,H,C,L1F,L,F,R,2
IN,47112,R2,43,H,B,L1F,L,F,R,2
IL,60803,S2,16,U,A,L2F,L,F,S,2
other,83110,R2,44,U,D,L1G,L,G,R,2
WI,54494,R2,49,U,C,L1F,L,F,R,2
CA,95901,C3,30,H,C,L4E,L,E,C,3
NC,27455,S1,15,H,B,L1F,L,F,S,1
CA,94589,S2,18,H,A,L1F,L,F,S,2
other,41018,S3,21,H,B,L1G,L,G,S,3
IL,60005,U1,2,H,A,L2E,L,E,U,1
other,35805,C3,30,U,B,L1F,L,F,C,3
other,71909,C1,23,U,B,L2E,L,E,C,1
TX,77096,S1,15,H,A,L4E,L,E,S,1
CA,93446,R1,42,U,C,L1G,L,G,R,1
CA,95409,R1,42,U,A,L2F,L,F,R,1
CA,95037,T1,35,U,A,L1E,L,E,T,1
CA,95132,U1,2,U,A,L3G,L,G,U,1
other,68521,S2,17,H,C,L1G,L,G,S,2
MI,48169,R2,46,U,A,L1F,L,F,R,2
MO,65109,T2,40,U,C,L3D,L,D,T,2
FL,32962,C3,30,H,C,L1F,L,F,C,3
other,97213,C2,27,U,B,L3F,L,F,C,2
other,55112,S2,20,U,A,L1F,L,F,S,2
other,85367,R2,40,H,C,L1F,L,F,R,2
IL,62226,C1,24,U,A,L2F,L,F,C,1
other,67455-,R3,51,U,D,L1F,L,F,R,3
CA,90703,U1,2,H,A,L1F,L,F,U,1
MI,48427,R3,51,H,D,L4E,L,E,R,3
other,36767,R3,50,U,D,L2F,L,F,R,3
WI,54443,T2,39,U,C,L1F,L,F,T,2
IN,46254,S1,15,U,B,L1G,L,G,S,1
GA,30802,R2,44,U,B,L1F,L,F,R,2
CA,91790,U2,6,H,A,L1G,L,G,U,2
CA,93906,C2,27,H,B,L2G,L,G,C,2
WI,54615,R2,45,U,D,L1F,L,F,R,2
CA,94901,C2,25,U,A,L1F,L,F,C,2
FL,32908,T2,39,H,B,L1F,L,F,T,2
other,29730,R2,47,H,B,L1F,L,F,R,2
IN,46953,C3,30,U,C,L1F,L,F,C,3
FL,32765,C1,24,H,B,L1G,L,G,C,1
IN,47443,R2,43,U,D,L1F,L,F,R,2
other,84302,U2,6,U,D,L4F,L,F,U,2
TX,77630,T2,39,H,B,L1G,L,G,T,2
CA,94102,U1,1,H,A,L1F,L,F,U,1
other,87123,S1,11,U,B,L1F,L,F,S,1
IN,46077,T1,35,H,B,L1F,L,F,T,1
IL,62704,C1,24,H,C,L1F,L,F,C,1
MI,49125,R3,51,U,C,L2G,L,G,R,3
NC,27006,R1,42,U,B,L1F,L,F,R,1
IL,60634,U2,5,H,A,L1F,L,F,U,2
CA,91352,U1,2,H,A,L3F,L,F,U,1
CA,92126,S3,21,U,A,L1F,L,F,S,3
other,58102,R2,40,U,C,L1F,L,F,R,2
IL,62927,R2,43,U,C,L2E,L,E,R,2
IL,61801,C1,22,U,C,L1E,L,E,C,1
other,38107,U4,10,U,B,L2G,L,G,U,4
CA,94087,U1,2,U,A,L3E,L,E,U,1
FL,33069,C1,23,H,A,L1E,L,E,C,1
MI,48038,C2,26,H,A,L3E,L,E,C,2
other,89015,C2,27,H,B,L2F,L,F,C,2
other,88114,R2,43,U,D,L4F,L,F,R,2
IL,62702,C3,30,H,C,L1F,L,F,C,3
CA,95833,S2,18,H,B,L1F,L,F,S,2
GA,30521,R2,43,U,D,L2E,L,E,R,2
CA,90706,U2,5,H,A,L1F,L,F,U,2
TX,75020,T2,36,H,C,L1F,L,F,T,2
WA,98390,S2,18,U,A,L1F,L,F,S,2
other,37138,C1,24,H,B,L3D,L,D,C,1
other,97404,C2,27,U,B,L1G,L,G,C,2
other,29470,R2,49,U,B,L1F,L,F,R,2
other,37160,T3,41,U,D,L2F,L,F,T,3
TX,78411,U1,2,H,B,L1E,L,E,U,1
IL,62040,S2,16,H,A,L1F,L,F,S,2
other,39042,T1,35,H,B,L4D,L,D,T,1
other,80219,U3,8,U,B,L2F,L,F,U,3
other,35630,C3,31,U,C,L1E,L,E,C,3
WI,54304,C2,27,H,C,L2E,L,E,C,2
other,29401,C1,22,U,B,L1F,L,F,C,1
TX,79405,T1,34,U,C,L4E,L,E,T,1
CA,90007,U4,10,U,A,L1G,L,G,U,4
MI,48722,T2,40,U,B,L1F,L,F,T,2
CA,91342,S2,19,H,A,L1G,L,G,S,2
other,42420-,T2,38,U,B,L2F,L,F,T,2
TX,75479,R2,45,U,D,L2E,L,E,R,2
IL,60441,T1,35,U,A,L2F,L,F,T,1
other,42134,R2,46,U,D,L2E,L,E,R,2
TX,76871,R3,53,U,D,L2E,L,E,R,3
TX,77586,C1,24,H,A,L2G,L,G,C,1
IL,60025,S1,14,U,A,L2G,L,G,S,1
WA,99203,T1,35,U,B,L1F,L,F,T,1
TX,77479,S1,14,H,A,L2E,L,E,S,1
WI,54901,S2,16,U,B,L1F,L,F,S,2
MO,65026,R3,53,U,D,L4E,L,E,R,3
MI,48146,U4,10,H,A,L4F,L,F,U,4
MI,48092-,U4,10,H,A,L2E,L,E,U,4
TX,78418,T2,40,U,B,L4E,L,E,T,2
CA,91324,S1,13,H,A,L1G,L,G,S,1
CA,95826,S1,12,U,B,L4D,L,D,S,1
CA,95127,S2,19,H,A,L3E,L,E,S,2
other,41059,T2,39,U,B,L4D,L,D,T,2
other,97217,U3,8,U,B,L1G,L,G,U,3
WA,98225,C2,27,H,C,L2F,L,F,C,2
other,40464,R2,43,H,D,L1F,L,F,R,2
other,80211,C3,30,H,B,L4D,L,D,C,3
GA,30294,T2,40,H,A,L2F,L,F,T,2
CA,95134,S2,20,H,A,L3F,L,F,S,2
WA,98040,S1,15,H,A,L1F,L,F,S,1
other,89014,S1,12,H,B,L4D,L,D,S,1
WI,53115,T2,40,U,C,L1G,L,G,T,2
CA,92805,U2,5,U,A,L1F,L,F,U,2
other,37402-,C2,27,H,B,L2G,L,G,C,2
other,9012,T2,40,H,U,L4F,L,F,T,2
other,37188,R3,51,H,B,L2F,L,F,R,3
CA,91502,S2,17,U,A,L4D,L,D,S,2
other,97321,C2,27,U,C,L1F,L,F,C,2
other,59855,R2,49,U,D,L2F,L,F,R,2
other,68776-,C2,27,H,C,L1F,L,F,C,2
other,37938-,T2,36,H,B,L1F,L,F,T,2
FL,33129,U1,1,U,A,L1F,L,F,U,1
other,68866-,R3,53,U,D,L1F,L,F,R,3
other,83864-,R1,42,H,D,L1G,L,G,R,1
CA,95252,R1,42,H,D,L3E,L,E,R,1
GA,31725-,R2,47,U,D,L1F,L,F,R,2
IL,60440,S1,14,H,A,L2F,L,F,S,1
WI,53095,T2,40,H,B,L4D,L,D,T,2
IL,60172,S2,18,H,A,L1G,L,G,S,2
other,97739,R2,48,U,C,L2E,L,E,R,2
MI,49855,T2,39,U,C,L2F,L,F,T,2
other,55428,S2,18,H,A,L1F,L,F,S,2
GA,30034,S1,14,H,A,L4E,L,E,S,1
CA,90066,U1,3,U,A,L1F,L,F,U,1
FL,33756,U1,2,U,A,L1G,L,G,U,1
CA,94583,C1,22,U,A,L1F,L,F,C,1
CA,94124,U2,5,H,A,L1G,L,G,U,2
IN,46979,R2,44,H,C,L1G,L,G,R,2
CA,95470,R2,44,U,C,L1E,L,E,R,2
IL,62220,C3,30,H,A,L2F,L,F,C,3
CA,94550,C2,27,H,A,L1F,L,F,C,2
CA,94070-,U1,3,U,A,L1F,L,F,U,1
other,35962,R3,51,U,C,L1G,L,G,R,3
IN,47591,T2,39,H,D,L2G,L,G,T,2
other,52653,R2,45,U,D,L1F,L,F,R,2
IN,47620,R2,44,U,B,L3E,L,E,R,2
